Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1-U2,2,ADRV9002,BGA196,Analog Devices,ADRV9002BBCZ,1090MHz ES and 978MHz UAT receiver,385.00,770.00,Mouser
U3,1,XCZU3EG,FBGA784,AMD Xilinx,XCZU3EG-1SFVC784E,Pulse decode and track fusion MPSoC,385.00,385.00,Digi-Key
U4-U5,2,LMX2594,VQFN40,Texas Instruments,LMX2594RHAT,Receiver LO synthesiser,58.00,116.00,Mouser
U6,1,HMC7044,LFCSP,Analog Devices,HMC7044LP10BE,Clock distribution and jitter cleaning,78.00,78.00,Mouser
U7,1,10MHz OCXO,9x7mm,SiTime,SIT5711AI-FD-33E0-10.000000,GNSS-disciplined timing reference,78.00,78.00,Mouser
U8-U9,2,ZED-F9T,LGA-54,u-blox,ZED-F9T-00B,"Timing GNSS receiver, redundant",89.00,178.00,Mouser
U10-U11,2,AD9265,LFCSP64,Analog Devices,AD9265BCPZ-125,16-bit IF digitiser for multilateration TOA,68.00,136.00,Mouser
U12-U13,2,4GB LPDDR4X,FBGA200,Micron,MT53E1G32D2FW-046,Track database and sample buffer,19.50,39.00,Mouser
U14,1,64GB eMMC,FBGA153,Micron,MTFC64GAKAENA-4M,Recording and firmware storage,18.00,18.00,Mouser
U15-U16,2,KSZ9031,QFN48,Microchip,KSZ9031RNXIA,Gigabit Ethernet PHY,4.50,9.00,Mouser
U17-U22,6,LT8640,QFN18,Analog Devices,LT8640IUDC#PBF,Point-of-load regulator,6.40,38.40,Mouser
J1-J2,2,SFP+ cage,Press-fit,TE Connectivity,2007196-1,10GbE ASTERIX output,8.40,16.80,Mouser
J3-J6,4,SMA edge,Edge mount,Amphenol,132289,Antenna RF input,6.80,27.20,Mouser
PCB1,1,RF hybrid,Custom,EmbeddedOS,EOS-PCB-RF-RO4350,"Rogers RO4350B / FR-4 hybrid RF PCB, 8-layer",96.00,96.00,Custom
C1-C220,220,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,4.40,Mouser
C221-C270,50,10uF,0805,Murata,GRM21BR61A106KE19L,10uF X5R bulk capacitor 10V,0.09,4.50,Mouser
R1-R110,110,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,1.10,Mouser
TOTAL,,,,,,,1995.40,,Approximate BOM cost
