Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,STM32H743,LQFP144,STMicroelectronics,STM32H743ZIT6,Cortex-M7 on-board computer,11.80,11.80,Mouser
U2,1,iCE40UP5K,QFN48,Lattice,ICE40UP5K-SG48ITR,FPGA watchdog and latch-up supervisor,6.20,6.20,Mouser
U3-U5,3,16MB QSPI,SOIC8,Winbond,W25Q128JVSIQ,Triple-redundant boot image storage,1.35,4.05,Mouser
U6,1,1Mbit FRAM,SOIC8,Infineon,FM24V10-G,FRAM for mission state and counters,4.70,4.70,Mouser
U7-U8,2,ICM-42688-P,LGA14,TDK InvenSense,ICM-42688-P,6-axis IMU for rate sensing,4.80,9.60,Mouser
U9-U10,2,MMC5983MA,LGA16,MEMSIC,MMC5983MA,Magnetometer for attitude determination,2.90,5.80,Mouser
U11,1,MAX-M10S,LCC-18,u-blox,MAX-M10S-00B,GNSS receiver for orbit determination,14.50,14.50,Mouser
U12-U13,2,BQ25798,VQFN29,Texas Instruments,BQ25798RQMR,MPPT solar charge controller,4.80,9.60,Mouser
U14,1,BQ40Z80,VQFN32,Texas Instruments,BQ40Z80RSMR,Battery gas gauge and protection,8.50,8.50,Mouser
U15-U16,2,TCAN1042,SOIC8,Texas Instruments,TCAN1042VDRQ1,CAN FD bus transceiver,1.85,3.70,Mouser
U17,1,SX1262,QFN24,Semtech,SX1262IMLTRT,UHF downlink transceiver,5.40,5.40,Mouser
U18-U21,4,TPS62840,WSON8,Texas Instruments,TPS62840DGRR,Low-Iq point-of-load regulator,0.65,2.60,Mouser
U22-U24,3,INA3221,VQFN16,Texas Instruments,INA3221AIRGVR,Solar string and rail current monitoring,3.20,9.60,Mouser
BT1-BT2,2,3500mAh 18650,18650,Samsung SDI,INR18650-35E,Li-ion energy storage cell,4.60,9.20,Digi-Key
PV1-PV4,4,5W PV panel,Custom,EmbeddedOS,EOS-PV-5W-MONO,Body-mounted PV panel,12.50,50.00,Custom
PCB1,1,8-layer FR4,Custom,EmbeddedOS,EOS-PCB-8L-C3,"8-layer FR-4 PCB, ENIG, IPC Class 3",24.00,24.00,Custom
C1-C90,90,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,1.80,Mouser
C91-C114,24,10uF,0805,Murata,GRM21BR61A106KE19L,10uF X5R bulk capacitor 10V,0.09,2.16,Mouser
R1-R60,60,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,0.60,Mouser
TOTAL,,,,,,,183.81,,Approximate BOM cost
