Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,ADRV9002,BGA196,Analog Devices,ADRV9002BBCZ,Dual-channel wideband RF transceiver,385.00,385.00,Mouser
U2,1,XCZU3EG,FBGA784,AMD Xilinx,XCZU3EG-1SFVC784E,MPSoC baseband demodulator and processor,385.00,385.00,Digi-Key
U3-U4,2,LMX2594,VQFN40,Texas Instruments,LMX2594RHAT,Wideband LO synthesiser,58.00,116.00,Mouser
U5,1,HMC7044,LFCSP,Analog Devices,HMC7044LP10BE,JESD204B clock distribution and jitter cleaning,78.00,78.00,Mouser
U6,1,10MHz OCXO,9x7mm,SiTime,SIT5711AI-FD-33E0-10.000000,GNSS-disciplined OCXO reference,78.00,78.00,Mouser
U7,1,ZED-F9T,LGA-54,u-blox,ZED-F9T-00B,Timing GNSS receiver,89.00,89.00,Mouser
U8-U9,2,4GB LPDDR4X,FBGA200,Micron,MT53E1G32D2FW-046,Baseband sample buffer,19.50,39.00,Mouser
U10,1,64GB eMMC,FBGA153,Micron,MTFC64GAKAENA-4M,Pass recording and firmware storage,18.00,18.00,Mouser
U11-U12,2,KSZ9031,QFN48,Microchip,KSZ9031RNXIA,Gigabit Ethernet PHY,4.50,9.00,Mouser
U13-U14,2,MAX3485,SOIC8,Analog Devices,MAX3485EESA+T,RS-485 rotator control interface,0.85,1.70,Mouser
U15-U20,6,LT8640,QFN18,Analog Devices,LT8640IUDC#PBF,Point-of-load regulator,6.40,38.40,Mouser
J1-J2,2,SFP+ cage,Press-fit,TE Connectivity,2007196-1,10GbE SFP+ data output,8.40,16.80,Mouser
J3-J6,4,SMA edge,Edge mount,Amphenol,132289,RF input/output,6.80,27.20,Mouser
PCB1,1,RF hybrid,Custom,EmbeddedOS,EOS-PCB-RF-RO4350,"Rogers RO4350B / FR-4 hybrid RF PCB, 8-layer",96.00,96.00,Custom
C1-C200,200,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,4.00,Mouser
C201-C248,48,10uF,0805,Murata,GRM21BR61A106KE19L,10uF X5R bulk capacitor 10V,0.09,4.32,Mouser
R1-R100,100,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,1.00,Mouser
L1-L6,6,4.7uH,5.3x5.3mm,Coilcraft,XAL5030-472MEB,4.7uH 6.4A shielded power inductor,0.72,4.32,Coilcraft
TOTAL,,,,,,,1390.74,,Approximate BOM cost
