Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,GR712RC,CQFP240,Frontgrade Gaisler,GR712RC,Rad-tolerant GNC flight processor,12500.00,12500.00,Frontgrade
U2,1,XC7A100T,FBGA484,AMD Xilinx,XC7A100T-2FGG484I,Sequencing and pyro interlock logic,95.00,95.00,Digi-Key
U3-U4,2,STM32H743,LQFP144,STMicroelectronics,STM32H743ZIT6,Dissimilar AFTS processor pair,11.80,23.60,Mouser
U5-U7,3,ADIS16505-2,Module,Analog Devices,ADIS16505-2BMLZ,Navigation IMU triad,385.00,1155.00,Mouser
U8-U9,2,ZED-F9P,LGA-54,u-blox,ZED-F9P-04B,"Dual-band GNSS receiver, redundant",75.00,150.00,Mouser
U10-U11,2,256kbit MRAM,SOIC8,Everspin,MR25H256ACDF,MRAM for trajectory and event log,6.20,12.40,Mouser
U12,1,ADRV9002,BGA196,Analog Devices,ADRV9002BBCZ,S-band telemetry downlink transceiver,385.00,385.00,Mouser
U13-U20,8,ISO7741,SOIC16W,Texas Instruments,ISO7741DWR,Pyro channel command isolation,3.90,31.20,Mouser
U21-U26,6,LM5164,SO-8 PowerPAD,Texas Instruments,LM5164DDAR,"28V buck regulator, hot-redundant",3.70,22.20,Mouser
U27-U32,6,INA228,VSSOP10,Texas Instruments,INA228AIDGSR,Rail and pyro bus telemetry,3.50,21.00,Mouser
J1-J4,4,D38999 Series III,Circular,Amphenol,D38999/26WD35SN,Vehicle harness interface,92.00,368.00,Digi-Key
PCB1-PCB2,2,12-layer FR4,Custom,EmbeddedOS,EOS-PCB-12L-C3,"GNC and AFTS boards, independently fabricated",48.00,96.00,Custom
C1-C200,200,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,4.00,Mouser
C201-C224,24,47uF,1210,Murata,GRM32ER61E476ME15L,47uF X5R bulk capacitor 25V,0.42,10.08,Mouser
R1-R110,110,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,1.10,Mouser
D1-D16,16,33V TVS,SMB,Littelfuse,SMBJ33CA,"600W bidirectional TVS diode, 33V standoff",0.28,4.48,Mouser
TOTAL,,,,,,,14879.06,,Approximate BOM cost
