Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1-U3,3,ADIS16505-2,Module,Analog Devices,ADIS16505-2BMLZ,Tactical-grade IMU triad,385.00,1155.00,Mouser
U4,1,XC7A35T,FBGA484,AMD Xilinx,XC7A35T-2FGG484I,"IMU sampling, sync and pre-filtering",42.00,42.00,Digi-Key
U5-U6,2,STM32H743,LQFP144,STMicroelectronics,STM32H743ZIT6,"Kalman filter processor, dual redundant",11.80,23.60,Mouser
U7,1,ZED-F9P,LGA-54,u-blox,ZED-F9P-04B,GNSS aiding receiver,75.00,75.00,Mouser
U8-U9,2,MS5611,QFN8,TE Connectivity,MS561101BA03-50,Barometric altitude aiding,12.80,25.60,Mouser
U10-U11,2,MMC5983MA,LGA16,MEMSIC,MMC5983MA,Magnetic heading aiding,2.90,5.80,Mouser
U12-U13,2,HI-3593,PLCC44,Holt Integrated Circuits,HI-3593PQI,ARINC-429 interface,24.50,49.00,Digi-Key
U14,1,BU-65170,QFP,Data Device Corp,BU-65170I2-300,MIL-STD-1553B terminal,185.00,185.00,Digi-Key
U15-U16,2,MAX3485,SOIC8,Analog Devices,MAX3485EESA+T,RS-422 interface,0.85,1.70,Mouser
U17-U18,2,TCAN1042,SOIC8,Texas Instruments,TCAN1042VDRQ1,CAN FD transceiver,1.85,3.70,Mouser
U19,1,KSZ9031,QFN48,Microchip,KSZ9031RNXIA,Gigabit Ethernet PHY,4.50,4.50,Mouser
U20-U21,2,256kbit MRAM,SOIC8,Everspin,MR25H256ACDF,MRAM for alignment and calibration state,6.20,12.40,Mouser
U22-U27,6,TMP117,WSON6,Texas Instruments,TMP117AIDRVR,IMU thermal compensation sensing,4.20,25.20,Mouser
U28-U30,3,LM5164,SO-8 PowerPAD,Texas Instruments,LM5164DDAR,Primary buck regulator,3.70,11.10,Mouser
U31-U34,4,TPS7A4701,VQFN20,Texas Instruments,TPS7A4701RGWT,Low-noise IMU supply,3.10,12.40,Mouser
J1-J2,2,D38999 Series III,Circular,Amphenol,D38999/26WD35SN,"MIL-DTL-38999 circular connector, 37-way",92.00,184.00,Digi-Key
PCB1,1,8-layer FR4,Custom,EmbeddedOS,EOS-PCB-8L-C3,"8-layer FR-4 PCB, ENIG, IPC Class 3",24.00,24.00,Custom
C1-C150,150,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,3.00,Mouser
C151-C182,32,10uF,0805,Murata,GRM21BR61A106KE19L,10uF X5R bulk capacitor 10V,0.09,2.88,Mouser
R1-R85,85,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,0.85,Mouser
TOTAL,,,,,,,1846.73,,Approximate BOM cost
