Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,RK3588S,BGA,Rockchip,RK3588S,6-core ARM SoC + 32-TOPS NPU,85.00,85.00,Mouser
U2,2,STM32H7B3ZIT6,LQFP144,STMicroelectronics,STM32H7B3ZIT6,ARM Cortex-M7 RTOS co-processor,12.50,25.00,Mouser
U3,2,ZED-F9P,LCC,u-blox,ZED-F9P,Dual-freq RTK GPS,75.00,150.00,Mouser
U4,2,G362P,LCC,Seiko Epson,G362P,6-DOF IMU,95.00,190.00,Mouser
U5,1,Mid-360,Custom,Livox,Mid-360,Solid-state 360 LiDAR,599.00,599.00,Livox
U6,3,IMX678,CSP,Sony,IMX678,4K CMOS image sensor,45.00,135.00,Mouser
U7,1,SX1276,QFN28,Semtech,SX1276IMLTRT,900MHz LoRa transceiver,3.50,3.50,Mouser
U8,1,EC25-AF,LGA,Quectel,EC25AFFA-512-STD,4G LTE Cat 4 module,18.00,18.00,Mouser
U9,1,TEKTON3,QFN,Autotalks,TEKTON3,V2X DSRC + C-V2X transceiver,120.00,120.00,Digi-Key
U10,8,TLE9879QXA40,QFN,Infineon,TLE9879QXA40,Motor driver IC,12.50,100.00,Mouser
U11,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U12,4,INA3221,WSON10,Texas Instruments,INA3221AIRGVR,Triple-ch power monitor,3.20,12.80,Mouser
J1,1,XT90-S,Through-hole,Amass,XT90-S-M,Battery connector 90A,2.50,2.50,Amazon
C1,30,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.60,Mouser
R1,15,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.15,Mouser
TOTAL,,,,,,,1442.50,,Approximate BOM cost
