Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,Snapdragon-XR2,BGA,Qualcomm,SM8350,Snapdragon XR2+ Gen 1 SoC,120.00,120.00,Qualcomm
U2,4,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,8GB LPDDR5,28.00,112.00,Mouser
U3,1,KLMAG2JENB-B041,BGA,Samsung,KLMAG2JENB-B041,128GB UFS 3.1,22.00,22.00,Mouser
U4,2,Micro-OLED,Module,Sony,ECX344A,0.71-inch micro-OLED 1920×1080,85.00,170.00,Sony
U5,1,IMX586,CSP,Sony,IMX586AAQJ5-C,48MP CMOS image sensor,35.00,35.00,Mouser
U6,1,nRF52840,QFN73,Nordic Semiconductor,nRF52840-QIAA-R7,BLE 5.3 SoC,3.50,3.50,Mouser
U7,1,ESP32-S3,QFN56,Espressif,ESP32-S3-WROOM-1,Wi-Fi 6E module,3.80,3.80,Mouser
U8,1,BQ40Z80,QFN48,Texas Instruments,BQ40Z80RSMT,Battery management IC,8.50,8.50,Mouser
U9,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
C1,30,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.60,Mouser
R1,15,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.15,Mouser
TOTAL,,,,,,,477.50,,Approximate BOM cost
