Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,MIMX8MM6DVTLZAA,BGA,NXP,MIMX8MM6DVTLZAA,i.MX 8M Mini quad Cortex-A53,18.00,18.00,Mouser
U2,2,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,4GB LPDDR4X,8.00,16.00,Mouser
U3,1,KLMAG2JENB-B041,BGA,Samsung,KLMAG2JENB-B041,16GB eMMC,10.00,10.00,Mouser
U4,1,nRF52840,QFN73,Nordic Semiconductor,nRF52840-QIAA-R7,BLE 5.3 + Zigbee SoC,3.50,3.50,Mouser
U5,1,ZGM130S,QFN40,Silicon Labs,ZGM130S037HGN1R,Z-Wave 700 module,8.50,8.50,Mouser
U6,1,ESP32-S3,QFN56,Espressif,ESP32-S3-WROOM-1,Wi-Fi 6 + BLE module,3.80,3.80,Mouser
U7,1,KSZ9031RNXIA,QFN48,Microchip,KSZ9031RNXIA,GbE PHY,4.50,4.50,Mouser
U8,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U9,1,TPS65988,FCBGA64,Texas Instruments,TPS65988DHRSKT,USB-C PD controller,5.50,5.50,Mouser
C1,25,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.50,Mouser
R1,12,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.12,Mouser
TOTAL,,,,,,,71.37,,Approximate BOM cost
