Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,XCZU3EG,FBGA784,AMD Xilinx,XCZU3EG-1SFVC784E,Crypto acceleration and protocol MPSoC,385.00,385.00,Digi-Key
U2-U3,2,MAX32520,TQFN,Analog Devices,MAX32520-KIT,"PUF master key custodian, redundant",11.90,23.80,Mouser
U4-U7,4,SE050,HX2QFN20,NXP,SE050C2HQ1/Z01SDZ,Certified key storage element,3.40,13.60,Mouser
U8,1,SLB9670,TSSOP28,Infineon,SLB9670VQ2.0,TPM 2.0 platform attestation,4.30,4.30,Mouser
U9-U10,2,4GB LPDDR4X,FBGA200,Micron,MT53E1G32D2FW-046,Session and key cache memory,19.50,39.00,Mouser
U11-U12,2,64GB eMMC,FBGA153,Micron,MTFC64GAKAENA-4M,Wrapped key database storage,18.00,36.00,Mouser
U13-U14,2,AD7124-8,LFCSP32,Analog Devices,AD7124-8BCPZ,Tamper mesh integrity measurement,9.70,19.40,Mouser
U15-U20,6,INA228,VSSOP10,Texas Instruments,INA228AIDGSR,Power analysis and glitch detection,3.50,21.00,Mouser
U21-U26,6,TMP117,WSON6,Texas Instruments,TMP117AIDRVR,Thermal attack detection,4.20,25.20,Mouser
U27-U28,2,DP83867,HTQFP64,Texas Instruments,DP83867IRPAPR,Gigabit management Ethernet,6.80,13.60,Mouser
U29-U36,8,LT8640,QFN18,Analog Devices,LT8640IUDC#PBF,Point-of-load regulator,6.40,51.20,Mouser
U37-U42,6,TPS7A4701,VQFN20,Texas Instruments,TPS7A4701RGWT,Low-noise crypto supply,3.10,18.60,Mouser
BT1-BT2,2,225mAh coin,Coin 20mm,Panasonic,CR2032,Tamper monitoring backup cell,0.42,0.84,Mouser
J1-J2,2,SFP+ cage,Press-fit,TE Connectivity,2007196-1,10GbE service interface,8.40,16.80,Mouser
PCB1,1,12-layer FR4,Custom,EmbeddedOS,EOS-PCB-12L-C3,"12-layer FR-4 PCB, ENIG, IPC Class 3",48.00,48.00,Custom
C1-C280,280,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,5.60,Mouser
C281-C314,34,47uF,1210,Murata,GRM32ER61E476ME15L,47uF X5R bulk capacitor 25V,0.42,14.28,Mouser
R1-R150,150,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,1.50,Mouser
TOTAL,,,,,,,737.72,,Approximate BOM cost
