Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1-U2,2,ADRV9002,BGA196,Analog Devices,ADRV9002BBCZ,Wideband threat receiver,385.00,770.00,Mouser
U3,1,XCZU3EG,FBGA784,AMD Xilinx,XCZU3EG-1SFVC784E,Threat library matching and technique generation,385.00,385.00,Digi-Key
U4-U7,4,LMX2594,VQFN40,Texas Instruments,LMX2594RHAT,Fast-hopping LO synthesiser,58.00,232.00,Mouser
U8,1,HMC7044,LFCSP,Analog Devices,HMC7044LP10BE,Clock distribution,78.00,78.00,Mouser
U9-U12,4,AD9265,LFCSP64,Analog Devices,AD9265BCPZ-125,Wideband IF digitiser,68.00,272.00,Mouser
U13-U14,2,AWMF-0129,QFN,Qorvo,AWMF-0129,Ka-band beamforming front end,145.00,290.00,Qorvo
U15-U16,2,4GB LPDDR4X,FBGA200,Micron,MT53E1G32D2FW-046,Threat library and pulse buffer,19.50,39.00,Mouser
U17,1,BU-65170,QFP,Data Device Corp,BU-65170I2-300,MIL-STD-1553B terminal,185.00,185.00,Digi-Key
U18-U21,4,ISO7741,SOIC16W,Texas Instruments,ISO7741DWR,Dispense command isolation,3.90,15.60,Mouser
U22-U29,8,LT8640,QFN18,Analog Devices,LT8640IUDC#PBF,Point-of-load regulator,6.40,51.20,Mouser
U30-U35,6,TPS7A4701,VQFN20,Texas Instruments,TPS7A4701RGWT,Low-noise RF supply,3.10,18.60,Mouser
J1-J4,4,VPX VITA 46,VPX,Amphenol,VPX-P1-046,"VPX VITA 46 backplane connector, 7-row",35.00,140.00,Digi-Key
J5-J12,8,SMA edge,Edge mount,Amphenol,132289,"SMA edge-launch RF connector, DC-18GHz",6.80,54.40,Mouser
PCB1,1,RF hybrid,Custom,EmbeddedOS,EOS-PCB-RF-RO4350,"Rogers RO4350B / FR-4 hybrid RF PCB, 8-layer",96.00,96.00,Custom
C1-C260,260,100nF,0402,Murata,GRM155R71C104KA88D,100nF X7R decoupling capacitor 16V,0.02,5.20,Mouser
C261-C315,55,10uF,0805,Murata,GRM21BR61A106KE19L,10uF X5R bulk capacitor 10V,0.09,4.95,Mouser
R1-R140,140,10k,0402,Yageo,RC0402FR-0710KL,10k 1% thin-film resistor,0.01,1.40,Mouser
TOTAL,,,,,,,2638.35,,Approximate BOM cost
