Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,RK3588S,BGA,Rockchip,RK3588S,6-core ARM SoC + 32-TOPS NPU,85.00,85.00,Mouser
U2,1,XC7A100T,BGA484,AMD Xilinx,XC7A100T-2FGG484I,Artix-7 FPGA image processing,95.00,95.00,Digi-Key
U3,1,IMX585,CSP,Sony,IMX585AAQJ5-C,4K BSI CMOS image sensor,120.00,120.00,Sony
U4,1,EC25-AF,LGA,Quectel,EC25AFFA-512-STD,4G LTE Cat 4 module,18.00,18.00,Mouser
U5,1,TEKTON3,QFN,Autotalks,TEKTON3,V2X transceiver,120.00,120.00,Digi-Key
U6,2,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,8GB LPDDR5,28.00,56.00,Mouser
U7,1,KLMAG2JENB-B041,BGA,Samsung,KLMAG2JENB-B041,64GB eMMC,18.00,18.00,Mouser
U8,3,DRV8876,HSSOP20,Texas Instruments,DRV8876PWPR,Gimbal motor driver,2.80,8.40,Mouser
U9,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U10,1,AES-256 HSM,Module,Microchip,ATECC608B-TFLXTLSS-G,TrustFLEX TLS security module,2.50,2.50,Mouser
C1,30,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.60,Mouser
R1,15,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.15,Mouser
TOTAL,,,,,,,524.60,,Approximate BOM cost
