Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,XCZU9EG,BGA,AMD Xilinx,XCZU9EG-2FFVB1156I,Zynq UltraScale+ MPSoC,850.00,850.00,Digi-Key
U2,1,AD9371,BGA,Analog Devices,AD9371BBCZ,Wideband RF transceiver 300MHz-6GHz,450.00,450.00,Mouser
U3,2,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,8GB LPDDR4,28.00,56.00,Mouser
U4,1,KLMAG2JENB-B041,BGA,Samsung,KLMAG2JENB-B041,64GB eMMC,18.00,18.00,Mouser
U5,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U6,2,PE43711,QFN24,pSemi,PE43711A-Z,RF switch SPDT 9kHz-13GHz,8.50,17.00,Mouser
U7,2,HMC7992,QFN24,Analog Devices,HMC7992LP4E,Wideband LNA 0.1-6GHz,22.00,44.00,Mouser
U8,1,LTC4015,QFN44,Analog Devices,LTC4015IUFD,Battery charger controller,12.00,12.00,Mouser
U9,4,KSZ9031RNXIA,QFN48,Microchip,KSZ9031RNXIA,GbE PHY,4.50,18.00,Mouser
C1,40,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.80,Mouser
R1,20,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.20,Mouser
TOTAL,,,,,,,1467.95,,Approximate BOM cost
