Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,STM32WL55JCI6,QFN48,STMicroelectronics,STM32WL55JCI6,Sub-GHz + Cortex-M4/M0+ SoC,4.80,4.80,Mouser
U2,1,nRF52840,QFN73,Nordic Semiconductor,nRF52840-QIAA-R7,BLE 5.3 + Zigbee + Thread SoC,3.50,3.50,Mouser
U3,1,BME688,LGA8,Bosch Sensortec,BME688,4-in-1 env sensor (T/H/P/VOC),4.50,4.50,Mouser
U4,1,BMI270,LGA14,Bosch Sensortec,BMI270,6-axis IMU,1.85,1.85,Mouser
U5,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U6,1,TPS63031,VSON10,Texas Instruments,TPS63031DSKR,Buck-boost converter,1.80,1.80,Mouser
U7,1,BQ25895,QFN24,Texas Instruments,BQ25895RTWR,USB-C battery charger,2.40,2.40,Mouser
U8,1,W25Q32JVSSIQ,SOP8,Winbond,W25Q32JVSSIQ,32Mb SPI Flash,0.65,0.65,Mouser
U9,1,SX1262,QFN24,Semtech,SX1262IMLTRT,Sub-GHz LoRa transceiver,3.20,3.20,Mouser
C1,20,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.40,Mouser
R1,10,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.10,Mouser
TOTAL,,,,,,,24.15,,Approximate BOM cost
