Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,RK3588S,BGA,Rockchip,RK3588S,6-core ARM SoC + 32-TOPS NPU,85.00,85.00,Mouser
U2,4,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,8GB LPDDR5,28.00,112.00,Mouser
U3,1,WD SN770,M.2,Western Digital,WDS128G1X0E,128GB NVMe SSD,22.00,22.00,Amazon
U4,2,RTL8125BG,QFN64,Realtek,RTL8125BG,2.5GbE PCIe controller,3.50,7.00,Mouser
U5,1,TPS65988,FCBGA64,Texas Instruments,TPS65988DHRSKT,USB-C PD controller,5.50,5.50,Mouser
U6,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U7,1,TPS7A4901,MSOP8,Texas Instruments,TPS7A4901DGNR,12V LDO regulator,2.40,2.40,Mouser
C1,30,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.60,Mouser
R1,15,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.15,Mouser
TOTAL,,,,,,,235.60,,Approximate BOM cost
