Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,LS1046ARDB,BGA,NXP,LS1046ARDB,Quad Cortex-A72 SoC,65.00,65.00,Mouser
U2,1,Jetson-Orin-NX,Module,NVIDIA,900-13767-0000-000,Jetson Orin NX 16GB AI,499.00,499.00,Digi-Key
U3,4,Mid-360,Custom,Livox,Mid-360,Solid-state 360 LiDAR,599.00,2396.00,Livox
U4,2,ZED-F9P,LCC,u-blox,ZED-F9P,Dual-freq RTK GPS,75.00,150.00,Mouser
U5,6,AWR1843,QFN,Texas Instruments,AWR1843BOOST,77GHz automotive radar,85.00,510.00,Mouser
U6,1,EC25-AF,LGA,Quectel,EC25AFFA-512-STD,4G LTE module,18.00,18.00,Mouser
U7,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
U8,4,INA3221,WSON10,Texas Instruments,INA3221AIRGVR,Triple-ch power monitor,3.20,12.80,Mouser
C1,40,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.80,Mouser
R1,20,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.20,Mouser
TOTAL,,,,,,,3652.75,,Approximate BOM cost
