Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Unit Cost USD,Extended Cost USD,Source
U1,1,MIMX8ML8DVNLZAB,BGA,NXP,MIMX8ML8DVNLZAB,i.MX 8M Plus quad-core + NPU,28.00,28.00,Mouser
U2,2,K4EBE304EB-EGCG,BGA,Samsung,K4EBE304EB-EGCG,8GB LPDDR4X,14.00,28.00,Mouser
U3,1,KLMAG2JENB-B041,BGA,Samsung,KLMAG2JENB-B041,64GB eMMC,18.00,18.00,Mouser
U4,1,STM32WL55JCI6,QFN48,STMicroelectronics,STM32WL55JCI6,LoRaWAN sub-GHz SoC,4.80,4.80,Mouser
U5,1,nRF52840,QFN73,Nordic Semiconductor,nRF52840-QIAA-R7,BLE 5.3 + Zigbee SoC,3.50,3.50,Mouser
U6,1,EC25-AF,LGA,Quectel,EC25AFFA-512-STD,4G LTE module,18.00,18.00,Mouser
U7,2,KSZ9031RNXIA,QFN48,Microchip,KSZ9031RNXIA,GbE PHY,4.50,9.00,Mouser
U8,1,MAX3485,SOT23-8,Maxim,MAX3485EESA+T,RS-485 transceiver,0.85,0.85,Mouser
U9,1,ATECC608B,UDFN8,Microchip,ATECC608B-MAHDA-T,Crypto co-processor,0.95,0.95,Mouser
C1,30,100nF,0402,Murata,GRM155R71C104KA88D,100nF decoupling,0.02,0.60,Mouser
R1,15,10k,0402,Yageo,RC0402FR-0710KL,10kΩ resistor,0.01,0.15,Mouser
TOTAL,,,,,,,111.85,,Approximate BOM cost
